ID;Aktywny (0 lub 1);Nazwa;Kategorie (x,y,z…);Cena zawiera podatek. (brutto);ID reguły podatku;Koszt własny;W sprzedaży (0 lub 1);Wartość rabatu;Procent rabatu;Rabat od dnia (rrrr-mm-dd);Rabat do dnia (rrrr-mm-dd);Indeks #;Kod dostawcy #;Dostawca;Marka;EAN13;UPC;Ecotax;Szerokość;Wysokość;Głębokość;Waga;Czas dostawy produktów dostępnych w magazynie:;Czas dostawy wyprzedanych produktów z możliwością rezerwacji:;Ilość;Minimalna ilość;Niski poziom produktów w magazynie;Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu;Widoczność;Dodatkowe koszty przesyłki;Jednostka dla ceny za jednostkę;Cena za jednostkę;Podsumowanie;Opis;Tagi (x,y,z…);Meta-tytuł;Słowa kluczowe meta;Opis meta;Przepisany URL;Etykieta, gdy w magazynie;Etykieta kiedy dozwolone ponowne zamówienie;Dostępne do zamówienia (0 = Nie, 1 = Tak);Data dostępności produktu;Data wytworzenia produktu;Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z…);Tekst alternatywny dla zdjęć (x,y,z…);Usuń istniejące zdjęcia (0 = Nie, 1 = Tak);Cecha(Nazwa:Wartość:Pozycja:Indywidualne);Dostępne tylko online (0 = Nie, 1 = Tak);Stan:;Konfigurowalny (0 = Nie, 1 = Tak);Można wgrywać pliki (0 = Nie, 1 = Tak);Pola tekstowe (0 = Nie, 1 = Tak);Akcja kiedy brak na stanie;Wirtualny produkt (0 = No, 1 = Yes);Adres URL pliku;Ilość dozwolonych pobrań;Data wygaśnięcia (rrrr-mm-dd);Liczba dni;ID / Nazwa sklepu;Zaawansowane zarządzanie magazynem;Zależny od stanu magazynowego;Magazyn;Akcesoria (x,y,z…)
1;1;ARTE kinkiet 1008C1 Aldex;KINKIETY;174.80;1;;0;;;;;;;;Aldex;;;;;;;;;;4-14;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Aldex</dd><dt>Nr katalogowy:</dt><dd>1008C1</dd><dt>EAN:</dt><dd>5904798649371</dd><dt>Wysyłka:</dt><dd>4-14 dni roboczych</dd></dl>;<span>Dane techniczne</span><dl><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>metal</dd><dt>Wysokość</dt><dd>54 cm</dd><dt>Szerokość</dt><dd>12 cm</dd><dt>Odległość od ściany</dt><dd>33 cm</dd><dt>Źródło światła</dt><dd>1 x E27 max 60W</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Aldex;Meta title-1;Meta keywords-1;Meta description-1;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/1008C1.jpg, https://www.imperiumlamp.pl/files/producers/aldex_logo.png;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
2;1;LAGOS LED black kinkiet 2450 TK Lighting;KINKIETY;133.00;1;;0;;;;;;;;TK Lighting;;;;;;;;;;;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>TK Lighting</dd><dt>Nr katalogowy:</dt><dd>2450</dd><dt>EAN:</dt><dd>5901780524500</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>tworzywo, metal</dd><dt>Wysokość</dt><dd>10cm - 38 cm</dd><dt>Szerokość</dt><dd>max 36 cm</dd><dt>Źródło światła</dt><dd>LED 3W 270Lm, 4000K</dd></dl>;TK Lighting;Meta title-2;Meta keywords-2;Meta description-2;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/LAGOS_aranz.jpg, https://www.imperiumlamp.pl/templates/images/facebook.svg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
3;1;EYE FLEX S brass 9067 Nowodvorski;KINKIETY;149.00;1;;0;;;;;;;;Nowodvorski;;;;;;;;;;341;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Nowodvorski</dd><dt>Nr katalogowy:</dt><dd>9067</dd><dt>EAN:</dt><dd>5903139906791</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>mosiądz</dd><dt>Wysokość</dt><dd>9.5 cm</dd><dt>Średnica</dt><dd>5.5 cm</dd><dt>Odległość od ściany</dt><dd>23 cm</dd><dt>Źródło światła</dt><dd>1 x GU10 max 10W, only LED</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Nowodvorski;Meta title-3;Meta keywords-3;Meta description-3;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/eye_flex_9067.jpg, https://www.imperiumlamp.pl/templates/images/facebook.svg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
4;1;DIONE  kinkiet 1092Y1 Aldex;KINKIETY;459.80;1;;0;;;;;;;;Aldex;;;;;;;;;;;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Aldex</dd><dt>Nr katalogowy:</dt><dd>1092Y1</dd><dt>EAN:</dt><dd>5904798654375</dd></dl>;<span>Dane techniczne</span><dl><dt>Zasilanie</dt><dd>~230V</dd><dt>Materiał</dt><dd>metal, szkło</dd><dt>Wysokość</dt><dd>67.5 cm</dd><dt>Szerokość</dt><dd>25 cm</dd><dt>Odległość od ściany</dt><dd>38 cm</dd><dt>Źródło światła</dt><dd>1 x E27 max 60W + 2x E14 max 40W</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Aldex;Meta title-4;Meta keywords-4;Meta description-4;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/1092Y1.jpeg, https://www.imperiumlamp.pl/files/producers/aldex_logo.png;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
5;1;RICHI white 4236 TK Lighting;KINKIETY;229.00;1;;0;;;;;;;;TK Lighting;;;;;;;;;;3;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>TK Lighting</dd><dt>Nr katalogowy:</dt><dd>4236</dd><dt>EAN:</dt><dd>5901780542368</dd></dl>;<span>Dane techniczne</span><dl><dt>Zasilanie</dt><dd>~230V</dd><dt>Materiał</dt><dd>metal, abażur</dd><dt>Wysokość</dt><dd>33 cm</dd><dt>Szerokość</dt><dd>16 cm</dd><dt>Odległość od ściany</dt><dd>20 cm</dd><dt>Źródło światła</dt><dd>1 x E27 max 60W + 1 x COB 3W LED</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;TK Lighting;Meta title-5;Meta keywords-5;Meta description-5;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/4236_ENZO.jpg, https://www.imperiumlamp.pl/files/producers/tk_lighting_logotyp1.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
6;1;PHOTO 6463 Nowodvorski;KINKIETY;10.04;1;;0;;;;;;;;Nowodvorski;;;;;;;;;;561;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Nowodvorski</dd><dt>Nr katalogowy:</dt><dd>6463</dd><dt>EAN:</dt><dd>5903139646390</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>szkło</dd><dt>Szerokość</dt><dd>30 cm</dd><dt>Źródło światła</dt><dd>1 x E27 max 60W</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Nowodvorski;Meta title-6;Meta keywords-6;Meta description-6;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/6463.jpg, https://www.imperiumlamp.pl/files/100/7-9.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
7;1;DRON black 997C1 Aldex;KINKIETY;469.00;1;;0;;;;;;;;Aldex;;;;;;;;;;3;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Aldex</dd><dt>Nr katalogowy:</dt><dd>997C1</dd><dt>EAN:</dt><dd>5904798648213</dd></dl>;<span>Dane techniczne</span><dl><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>metal</dd><dt>Wysokość</dt><dd>113 cm</dd><dt>Szerokość</dt><dd>13 cm</dd><dt>Źródło światła</dt><dd>1 x E27 max 60W</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Aldex;Meta title-7;Meta keywords-7;Meta description-7;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/997C1_(2).jpeg, https://www.imperiumlamp.pl/files/producers/aldex_logo.png;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
8;1;CRATE black kinkiet 9046 Nowodvorski;KINKIETY;175.00;1;;0;;;;;;;;Nowodvorski;;;;;;;;;;85;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Nowodvorski</dd><dt>Nr katalogowy:</dt><dd>9046</dd><dt>EAN:</dt><dd>5903139904698</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>stal</dd><dt>Wysokość</dt><dd>20 cm</dd><dt>Szerokość</dt><dd>15 cm</dd><dt>Odległość od ściany</dt><dd>18 cm</dd><dt>Źródło światła</dt><dd>1 x E27 max 60W</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Nowodvorski;Meta title-8;Meta keywords-8;Meta description-8;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/crate_9046.jpg, https://www.imperiumlamp.pl/templates/images/facebook.svg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
9;1;BOT white kinkiet 1046C Aldex;KINKIETY;147.40;1;;0;;;;;;;;Aldex;;;;;;;;;;9;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Aldex</dd><dt>Nr katalogowy:</dt><dd>1046C</dd><dt>EAN:</dt><dd>5904798651596</dd></dl>;<span>Dane techniczne</span><dl><dt></dt><dd></dd><dt></dt><dd></dd><dt></dt><dd></dd><dt>Zasilanie</dt><dd>~230V</dd><dt>Materiał</dt><dd>metal</dd><dt>Wysokość</dt><dd>9 cm</dd><dt>Szerokość</dt><dd>11.5 cm</dd><dt>Odległość od ściany</dt><dd>17 cm</dd><dt>Źródło światła</dt><dd>1 x GU10 ES111 max 35W</dd><dt>Lampa sprzedawana jest bez żarówek</dt><dd></dd></dl>;Aldex;Meta title-9;Meta keywords-9;Meta description-9;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/1046c.jpg, https://www.imperiumlamp.pl/files/100/1046C.jpeg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
10;1;COPENHAGEN kinkiet W01066CU Cosmo Light;KINKIETY;299.00;1;;0;;;;;;;;Cosmo Light;;;;;;;;;;4-8;1;1;1;both;;;;<dl><dt>Producent:</dt><dd>Cosmo Light</dd><dt>Nr katalogowy:</dt><dd>W01066CU</dd><dt>EAN:</dt><dd>5902115962066</dd><dt>Wysyłka:</dt><dd>4-8 dni roboczych</dd></dl>;<span>Dane techniczne</span><dl><dt>Zasilanie</dt><dd>230</dd><dt>Materiał</dt><dd>metal, szkło</dd><dt>Wysokość</dt><dd>27.5 cm</dd><dt>Szerokość</dt><dd>14 cm</dd><dt>Źródło światła</dt><dd>1 x G9 max 28W</dd><dt>Lampa sprzedawana jest z żarówkami</dt><dd></dd></dl>;Cosmo Light;Meta title-10;Meta keywords-10;Meta description-10;nowoczesne-kinkiety-scienne,29;Dostępny;Niedostępny;1;;;1;https://www.imperiumlamp.pl/files/600/copenhagen_w01066cu.png, https://www.imperiumlamp.pl/files/producers/cosmo_lighting_imperium.jpg;;0;;0;new;0;0;0;0;0;;;;;0;0;0;0;
